uwYear,gender,carType,carCat,job,age,nYears,carVal,cover,density,claimNumbMD
2009,Male,C,Small,Housewife,28,0,27395,0,68.97630254,1
2009,Female,C,Large,Employed,29,5,8675,0,27.01981982,1
2009,Male,E,Large,Employed,47,1,13850,0,114.881582,1
2009,Female,E,Small,Self-employed,29,3,7270,1,190.0515645,1
2009,Female,B,Large,Unemployed,27,2,8710,0,183.8950396,1
2009,Male,A,Medium,Unemployed,54,4,45860,1,14.37714238,1
2009,Female,C,Small,Employed,20,9,21350,0,184.4785165,1
2009,Male,D,Medium,Employed,28,2,34980,0,47.5930722,1
2009,Male,B,Large,Housewife,46,8,22165,0,124.2334338,1
2009,Female,B,Large,Employed,23,9,9835,0,76.98652096,1
2009,Male,D,Small,Employed,18,3,15180,0,232.9029787,1
2009,Male,E,Small,Housewife,31,3,15745,0,29.94861261,1
2009,Male,A,Small,Housewife,49,4,4975,1,284.2162652,1
2009,Male,E,Medium,Housewife,38,7,8365,0,100.3048589,1
2009,Male,B,Small,Employed,26,6,22380,0,222.711392,1
2009,Female,E,Medium,Retired,54,3,23260,1,251.432848,1
2009,Male,C,Small,Housewife,25,7,14145,0,276.9950185,1
2009,Male,E,Small,Unemployed,29,0,25335,1,94.65751646,1
2009,Male,E,Medium,Self-employed,23,0,29520,0,68.97630254,1
2009,Female,E,Small,Self-employed,51,9,6645,0,25.83086908,1
2009,Male,A,Medium,Housewife,35,1,48830,1,275.0923407,1
2009,Female,E,Medium,Unemployed,26,0,10150,1,248.5121203,1
2009,Male,E,Small,Employed,51,2,10495,0,56.11415278,1
2009,Male,C,Large,Employed,26,7,4360,0,107.8170529,1
2009,Male,A,Small,Unemployed,20,7,15920,1,87.83581964,1
2009,Male,B,Small,Self-employed,19,1,7865,0,123.0199289,1
2009,Female,A,Medium,Self-employed,56,8,16020,0,185.1345389,1
2009,Male,E,Medium,Unemployed,26,13,11420,1,276.9454965,1
2009,Male,E,Small,Employed,29,0,20280,0,207.1446249,1
2009,Female,A,Medium,Employed,44,1,11690,0,76.89987008,1
2009,Male,D,Medium,Employed,25,1,10020,1,87.14669097,1
2009,Male,C,Small,Housewife,27,11,40960,0,21.95355362,1
2009,Female,A,Medium,Employed,36,1,28800,0,126.1401885,1
2009,Female,B,Large,Unemployed,22,15,13970,0,251.432848,1
2009,Male,C,Medium,Employed,23,0,26890,0,123.0199289,1
2009,Female,E,Small,Housewife,32,10,2795,0,73.85052034,1
2009,Male,A,Medium,Employed,28,13,8140,0,17.999002,1
2009,Male,D,Large,Self-employed,28,6,17930,0,102.818883,1
2009,Female,D,Medium,Self-employed,44,0,38705,0,180.0831298,1
2009,Male,E,Medium,Employed,42,0,23865,0,95.69355223,1
2009,Female,D,Large,Housewife,73,5,16820,1,107.8170529,1
2009,Male,C,Small,Housewife,42,2,39220,0,27.92054451,1
2009,Female,B,Small,Employed,40,1,24260,1,259.0040603,1
2009,Female,D,Medium,Housewife,20,9,15265,1,114.1467007,1
2009,Male,B,Large,Housewife,22,9,15305,0,211.8309492,1
2009,Female,A,Large,Employed,24,3,4485,0,91.54176264,1
2009,Male,A,Small,Employed,36,2,27965,0,63.17028387,1
2009,Male,A,Small,Self-employed,19,4,9550,1,50.56640552,1
2009,Male,B,Small,Housewife,27,1,8175,1,137.8873343,1
2009,Male,E,Medium,Housewife,25,0,21080,0,238.240414,1
2009,Male,A,Large,Self-employed,52,0,17265,1,223.3475567,1
2009,Male,E,Medium,Self-employed,28,0,9885,0,109.6318854,1
2009,Male,A,Medium,Housewife,19,13,9760,0,156.1042255,1
2009,Male,D,Medium,Housewife,30,0,4130,0,58.81986821,1
2009,Female,A,Small,Housewife,38,10,46360,0,149.997808,1
2009,Male,B,Small,Unemployed,29,3,19555,1,123.969842,1
2009,Female,A,Small,Employed,30,0,8685,0,69.72819603,1
2009,Male,D,Medium,Employed,45,1,14830,1,148.4018477,1
2009,Male,B,Large,Unemployed,28,11,16965,1,25.26137811,1
2009,Male,E,Small,Retired,64,9,19705,0,84.06770437,1
2009,Male,E,Medium,Employed,18,2,17490,0,32.18545326,1
2009,Female,B,Small,Self-employed,30,0,16460,0,99.43621052,1
2009,Female,E,Large,Employed,19,0,6515,0,55.29380019,1
2009,Male,A,Large,Retired,49,5,5890,1,291.3194903,1
2009,Male,C,Small,Employed,22,1,19450,0,120.7793723,1
2009,Male,B,Large,Employed,18,3,13995,0,129.3156084,1
2009,Female,E,Small,Self-employed,26,2,4020,1,218.9832303,1
2009,Female,B,Small,Employed,39,0,3770,0,113.2248348,1
2009,Male,E,Large,Housewife,51,0,12465,0,295.7970919,1
2009,Female,C,Small,Employed,24,8,16390,0,27.87209298,1
2009,Male,E,Medium,Employed,28,1,14020,1,74.57233929,1
2009,Male,C,Large,Employed,27,5,16950,1,275.0923407,1
2009,Male,B,Medium,Self-employed,24,7,15045,1,253.6198858,1
2009,Male,C,Medium,Employed,46,1,16620,0,137.8151761,1
2009,Female,D,Medium,Employed,28,5,20860,1,270.4632326,1
2009,Male,D,Large,Employed,46,3,26975,0,58.73427627,1
2009,Female,D,Small,Self-employed,31,12,21635,0,145.223003,1
2009,Female,E,Small,Unemployed,27,14,10520,0,63.50810856,1
2009,Male,E,Medium,Employed,36,2,5630,1,22.24129416,1
2009,Male,A,Small,Housewife,24,1,20420,0,81.90993935,1
2009,Male,D,Medium,Employed,18,7,32720,0,100.3048589,1
2009,Male,C,Small,Unemployed,18,2,23420,1,129.8552354,1
2009,Female,C,Medium,Self-employed,18,2,15305,0,32.3065089,1
2009,Female,E,Medium,Housewife,31,1,4175,1,51.32331561,1
2009,Female,B,Medium,Unemployed,19,9,29810,0,73.85052034,1
2009,Female,B,Small,Housewife,21,1,14990,0,253.6198858,1
2009,Male,B,Small,Self-employed,44,2,14915,0,270.7883545,1
2009,Male,B,Small,Unemployed,25,2,49655,0,68.77710211,1
2009,Female,D,Small,Employed,33,8,22995,1,148.4018477,1
2009,Male,B,Small,Employed,36,7,16370,0,24.03270395,1
2009,Female,A,Medium,Unemployed,26,7,10295,0,260.3601885,1
2009,Male,E,Small,Housewife,37,14,12885,1,136.1308048,1
2009,Male,C,Large,Self-employed,51,5,15995,1,162.9324677,1
2009,Female,D,Medium,Unemployed,21,0,32715,1,60.07300249,1
2009,Male,E,Small,Self-employed,18,5,15980,0,201.6569069,1
2009,Female,D,Large,Employed,36,10,7245,1,51.33277755,1
2009,Female,B,Small,Employed,38,2,11635,1,185.1345389,1
2009,Male,E,Medium,Housewife,21,2,4580,0,28.95139071,1
2009,Female,B,Large,Employed,25,5,17395,0,276.9454965,1
2009,Female,A,Small,Unemployed,27,1,47090,0,34.10399662,1
2009,Male,D,Small,Self-employed,30,5,24575,0,64.12305444,1
2009,Female,E,Medium,Employed,18,14,6890,0,30.41139927,1
2009,Male,D,Large,Employed,46,12,47220,0,272.9669948,1
2009,Female,B,Medium,Housewife,19,11,23520,0,253.6198858,1
2009,Male,D,Medium,Housewife,46,4,19150,1,123.0199289,1
2009,Male,B,Medium,Employed,44,0,6760,1,200.6565503,1
2009,Male,B,Large,Self-employed,31,13,8985,0,34.81095528,1
2009,Male,C,Medium,Self-employed,21,4,14685,0,144.998902,1
2009,Male,A,Medium,Unemployed,29,10,19275,0,260.3601885,1
2009,Male,B,Large,Self-employed,68,3,9505,1,293.5560359,1
2009,Male,C,Small,Employed,38,5,13005,0,83.90453994,1
2009,Female,E,Medium,Unemployed,29,1,10145,0,38.77083633,1
2009,Male,B,Large,Housewife,34,2,21350,1,37.74768396,1
2009,Female,C,Large,Housewife,38,0,29485,1,290.1327193,1
2009,Male,D,Medium,Employed,21,8,37220,0,249.7835716,1
2009,Female,B,Small,Housewife,21,10,10305,0,66.46782671,1
2009,Female,D,Large,Self-employed,50,0,25670,0,28.38649426,1
2009,Male,C,Small,Employed,24,1,9785,0,68.85387998,1
2009,Male,C,Medium,Housewife,54,0,24160,1,38.06772,1
2009,Female,A,Medium,Retired,69,4,1285,1,71.62174491,1
2009,Male,B,Medium,Employed,42,3,29105,1,189.9730181,1
2009,Male,D,Small,Unemployed,44,2,14845,0,256.6405915,1
2009,Male,C,Medium,Self-employed,50,14,6670,1,34.93212226,1
2009,Male,D,Large,Employed,39,6,33210,1,178.2443114,1
2009,Male,A,Small,Self-employed,23,1,23935,1,216.4916013,1
2009,Male,A,Large,Unemployed,32,4,11965,1,94.29603751,1
2009,Female,B,Small,Unemployed,30,15,7120,1,238.240414,1
2009,Male,E,Large,Employed,30,0,18760,0,291.3194903,1
2009,Male,D,Small,Unemployed,22,14,15480,0,213.2556548,1
2009,Female,B,Small,Housewife,20,12,22200,0,88.29014956,1
2009,Male,D,Small,Unemployed,28,1,24700,0,112.8034383,1
2009,Male,A,Large,Employed,62,12,27760,1,84.9609991,1
2009,Male,A,Large,Housewife,47,9,25815,1,76.98652096,1
2009,Male,B,Medium,Self-employed,50,13,49540,1,30.62119248,1
2009,Female,C,Small,Employed,28,2,13955,1,285.6217445,1
2009,Female,C,Medium,Housewife,26,9,16675,1,50.56640552,1
2009,Male,E,Large,Employed,58,5,9255,1,106.5583041,1
2009,Male,B,Large,Employed,32,2,23020,1,141.0368682,1
2009,Male,A,Large,Employed,30,1,21720,1,223.3475567,1
2009,Male,E,Large,Employed,47,1,11545,1,124.3443471,1
2009,Female,C,Medium,Employed,24,3,2505,0,136.1308048,1
2009,Male,D,Medium,Unemployed,22,1,7440,0,35.02446355,1
2009,Male,C,Medium,Self-employed,67,1,34205,1,162.666477,1
2009,Female,E,Medium,Housewife,33,7,48270,0,276.3355652,1
2009,Female,A,Medium,Employed,59,0,10985,1,200.6565503,1
2009,Male,A,Medium,Employed,23,8,9005,1,65.3447011,1
2009,Female,E,Medium,Employed,27,3,11770,0,124.2334338,1
2009,Male,D,Small,Employed,25,8,21270,1,282.3344767,1
2009,Male,A,Small,Housewife,43,7,6020,1,118.8510133,1
2009,Male,B,Large,Employed,47,1,22845,0,63.53336338,1
2009,Male,E,Medium,Self-employed,69,0,7615,0,50.40601234,1
2009,Male,A,Large,Housewife,56,2,19855,1,82.67020711,1
2009,Male,E,Small,Self-employed,25,10,2725,0,64.12305444,1
2009,Male,A,Medium,Employed,39,6,18365,0,84.00797156,1
2009,Male,B,Small,Unemployed,24,7,6185,0,139.637282,1
2009,Male,A,Medium,Employed,20,7,23980,0,205.4307964,1
2009,Male,C,Small,Employed,39,7,7005,1,33.76301929,1
2009,Male,E,Small,Retired,60,10,7850,1,275.0923407,1
2009,Male,C,Large,Retired,67,7,23980,1,75.62345843,1
2009,Male,A,Small,Unemployed,20,1,19780,0,61.79475865,1
2009,Male,E,Small,Self-employed,30,3,1835,1,125.1320458,1
2009,Male,E,Small,Housewife,26,0,13975,0,23.6720664,1
2009,Female,E,Medium,Unemployed,18,5,21425,0,66.06668352,1
2009,Female,C,Large,Employed,47,5,7710,0,106.5583041,1
2009,Male,A,Small,Employed,29,3,8310,0,190.0515645,1
2009,Male,C,Medium,Employed,21,3,9640,0,276.9950185,1
2009,Male,B,Medium,Unemployed,28,0,38995,0,162.9324677,1
2009,Female,B,Large,Unemployed,40,5,31745,0,62.72127383,1
2009,Male,A,Large,Employed,28,7,31355,1,275.0923407,1
2009,Female,C,Large,Self-employed,43,6,5815,1,167.9366556,1
2009,Female,C,Large,Housewife,42,1,20235,1,78.33993486,1
2009,Male,A,Medium,Employed,27,2,19645,1,59.92134979,1
2009,Male,B,Medium,Employed,36,14,22480,1,222.2151274,1
2009,Male,E,Medium,Unemployed,27,4,25765,0,210.189841,1
2009,Male,C,Medium,Unemployed,28,8,28800,0,59.8409496,1
2009,Male,A,Large,Employed,52,10,17510,0,169.5291484,1
2009,Male,C,Medium,Unemployed,31,2,28520,0,259.0040603,1
2009,Male,B,Large,Housewife,32,3,29575,1,68.85387998,1
2009,Female,B,Large,Unemployed,41,13,5715,1,201.6569069,1
2009,Male,D,Small,Housewife,33,8,48285,0,260.3601885,1
2009,Female,A,Large,Unemployed,44,0,18190,1,189.9730181,1
2009,Male,E,Small,Housewife,47,1,5490,1,239.4551701,1
2009,Male,A,Medium,Employed,37,5,9895,0,190.0515645,1
2009,Female,E,Small,Employed,22,5,26315,0,212.4247054,1
2009,Male,D,Medium,Employed,36,1,8400,1,125.1320458,1
2009,Male,D,Small,Employed,28,13,18950,1,84.22903844,1
2009,Male,D,Medium,Employed,43,0,24115,1,222.2151274,1
2009,Male,A,Medium,Housewife,28,8,27925,0,249.8117276,1
2009,Female,A,Medium,Housewife,42,11,15445,1,71.66099406,1
2009,Male,A,Medium,Unemployed,29,1,29350,0,270.874006,1
2009,Male,D,Medium,Employed,35,3,4710,0,29.94861261,1
2009,Male,A,Large,Employed,33,2,48400,0,270.7883545,1
2009,Male,A,Small,Housewife,27,4,6965,0,149.997808,1
2009,Female,B,Small,Employed,40,4,30375,1,88.29014956,1
2009,Male,A,Medium,Housewife,30,1,43845,1,24.84670738,1
2009,Male,C,Small,Unemployed,24,13,7435,1,148.9956325,1
2009,Female,B,Medium,Employed,29,13,32545,1,73.18307109,1
2009,Male,A,Medium,Self-employed,37,2,4185,1,112.8034383,1
2009,Male,A,Medium,Housewife,55,15,46630,1,212.4247054,1
2009,Male,E,Large,Self-employed,48,12,5570,1,78.33993486,1
2009,Male,E,Medium,Unemployed,28,12,11470,0,33.26093405,1
2009,Male,A,Medium,Housewife,20,2,30260,1,61.11231366,1
2009,Female,C,Small,Self-employed,20,1,28925,1,169.5291484,1
2009,Male,E,Large,Self-employed,28,5,2245,1,284.2162652,1
2009,Male,C,Small,Unemployed,28,0,7350,0,222.6929824,1
2009,Male,A,Small,Self-employed,35,5,7860,1,284.1301175,1
2009,Male,A,Small,Housewife,39,4,6280,0,211.8309492,1
2009,Male,E,Medium,Self-employed,20,0,7545,0,237.675525,1
2009,Male,E,Large,Unemployed,58,4,6280,1,139.637282,1
2009,Female,A,Medium,Unemployed,25,0,1740,0,259.0040603,1
2009,Female,A,Small,Self-employed,32,8,6145,1,240.0004036,1
2009,Male,C,Small,Unemployed,21,1,16330,0,65.2951547,1
2009,Male,C,Medium,Unemployed,18,7,20490,0,223.3475567,1
2009,Male,B,Small,Employed,30,4,6890,1,282.3344767,1
2009,Male,E,Large,Employed,21,7,11290,0,270.7883545,1
2009,Male,D,Large,Unemployed,31,6,2225,1,202.5335882,1
2009,Male,E,Small,Employed,18,2,20655,1,61.69063654,1
2009,Male,B,Small,Housewife,41,4,9315,1,20.3350899,1
2009,Male,B,Medium,Unemployed,18,6,8535,0,149.997808,1
2009,Male,A,Medium,Employed,27,4,4890,0,128.5434648,1
2009,Male,B,Medium,Self-employed,36,0,26190,0,138.5066713,1
2009,Male,E,Large,Employed,26,0,8355,0,202.5335882,1
2009,Male,E,Large,Employed,55,1,9390,1,171.3729361,1
2009,Female,A,Medium,Employed,54,12,13085,1,222.6929824,1
2009,Male,E,Small,Unemployed,22,3,22525,0,190.0515645,1
2009,Male,D,Small,Unemployed,19,0,9755,1,189.9730181,1
2009,Female,C,Medium,Self-employed,31,14,8470,1,64.12305444,1
2009,Male,E,Large,Unemployed,29,5,15390,0,148.5612071,1
2009,Male,D,Small,Housewife,40,6,13630,0,141.0368682,1
2009,Male,A,Medium,Unemployed,41,10,21280,1,206.2302755,1
2009,Female,B,Large,Self-employed,36,1,14820,1,91.55064058,1
2009,Male,E,Medium,Housewife,18,6,41610,1,222.735365,1
2009,Female,A,Medium,Employed,36,12,34880,0,207.1446249,1
2009,Male,A,Small,Self-employed,43,15,22650,1,293.5560359,1
2009,Male,C,Large,Self-employed,50,2,17450,1,109.6318854,1
2009,Female,B,Medium,Self-employed,27,1,18960,1,201.6569069,1
2009,Male,D,Medium,Housewife,29,0,3730,0,258.9237292,1
2009,Male,B,Large,Retired,61,14,2170,0,251.432848,1
2009,Female,A,Medium,Housewife,44,0,16605,1,272.9669948,1
2009,Female,D,Medium,Employed,31,11,30910,0,185.1345389,1
2009,Female,E,Small,Employed,26,7,40620,0,129.8552354,1
2009,Female,A,Large,Employed,26,1,43435,1,88.95152383,1
2009,Female,A,Small,Unemployed,19,1,5240,0,118.8510133,1
2009,Male,B,Small,Employed,24,2,17925,1,259.0040603,1
2009,Female,D,Large,Housewife,57,2,48055,0,259.0040603,1
2009,Male,A,Small,Housewife,50,7,8645,0,238.240414,1
2009,Female,E,Medium,Employed,43,13,29730,0,58.60474559,1
2009,Male,D,Medium,Employed,43,1,8240,1,149.997808,1
2009,Male,B,Medium,Housewife,52,0,18570,1,15.70531045,1
2009,Female,A,Medium,Self-employed,20,10,4935,0,284.1301175,1
2009,Male,A,Small,Unemployed,18,2,22325,1,222.711392,1
2009,Male,D,Large,Self-employed,54,0,29500,0,71.66099406,1
2009,Male,A,Medium,Unemployed,27,3,20370,0,211.8309492,1
2009,Male,A,Large,Employed,35,2,5395,1,169.5291484,1
2009,Male,A,Medium,Housewife,51,0,8215,0,237.675525,1
2009,Male,A,Large,Employed,48,3,5340,1,25.14133101,1
2009,Male,C,Medium,Self-employed,25,1,11305,0,222.735365,1
2009,Male,A,Small,Employed,23,11,12350,0,202.5335882,1
2009,Male,D,Large,Employed,23,9,9785,0,133.2886429,1
2009,Male,D,Medium,Employed,29,5,29990,1,63.17028387,1
2009,Male,A,Large,Unemployed,58,5,6760,0,66.11361207,1
2009,Female,C,Medium,Housewife,45,11,8915,1,222.6929824,1
2009,Male,A,Large,Self-employed,43,4,13335,0,272.9669948,1
2009,Male,C,Small,Employed,40,15,25780,1,290.1327193,1
2009,Male,D,Small,Employed,27,12,8270,0,66.12046108,1
2009,Female,D,Small,Housewife,53,2,44520,1,234.675271,1
2009,Male,B,Large,Employed,22,3,18895,0,39.55041059,1
2009,Female,B,Small,Housewife,43,1,3185,0,290.1327193,1
2009,Male,D,Large,Self-employed,60,3,7735,1,88.29014956,1
2009,Male,D,Large,Self-employed,38,9,17655,1,26.41407409,1
2009,Male,C,Medium,Housewife,37,7,6545,1,33.27619903,1
2009,Female,B,Large,Employed,41,0,40705,0,212.4247054,1
2009,Male,B,Medium,Housewife,23,9,28440,1,58.91132801,1
2009,Male,B,Large,Housewife,32,2,6640,1,293.5560359,1
2009,Female,A,Large,Employed,42,0,8570,1,58.59040352,1
2009,Male,C,Small,Employed,44,7,15865,0,25.26137811,1
2009,Female,E,Medium,Housewife,43,3,9180,0,50.6257826,1
2009,Male,C,Small,Self-employed,24,10,31685,0,272.9669948,1
2009,Female,D,Medium,Housewife,20,12,9005,0,79.1594481,1
2009,Female,D,Medium,Unemployed,22,3,21310,0,258.9237292,1
2009,Male,C,Small,Employed,34,13,26170,0,276.9454965,1
2009,Male,E,Large,Employed,26,15,9410,0,166.5549379,1
2009,Female,B,Large,Employed,41,2,4885,1,23.6720664,1
2009,Female,B,Large,Employed,39,0,12950,0,139.637282,1
2009,Male,B,Small,Employed,32,4,16715,0,183.8950396,1
2009,Male,C,Medium,Self-employed,31,4,19230,0,141.4896565,1
2009,Male,A,Large,Self-employed,42,0,15010,1,253.6198858,1
2009,Male,B,Small,Retired,47,4,28990,0,98.10372854,1
2009,Male,E,Medium,Employed,26,0,12485,0,248.5121203,1
2009,Female,C,Small,Employed,60,2,2045,1,30.5989837,1
2009,Male,B,Medium,Housewife,18,11,23040,0,65.78489891,1
2009,Male,B,Small,Employed,20,0,17190,0,64.30270938,1
2009,Male,C,Medium,Unemployed,57,0,27300,1,171.3729361,1
2009,Female,D,Medium,Housewife,29,6,5280,0,202.5335882,1
2009,Male,D,Medium,Unemployed,38,12,19790,0,110.9836779,1
2009,Male,E,Small,Employed,34,0,13030,0,88.95152383,1
2009,Male,B,Small,Unemployed,21,8,19425,0,276.9454965,1
2009,Male,C,Small,Self-employed,27,7,8540,0,20.3350899,1
2009,Female,E,Small,Employed,29,8,18175,0,169.7885554,1
2009,Male,A,Medium,Self-employed,24,2,27335,0,285.6217445,1
2009,Male,C,Medium,Unemployed,24,11,28895,1,25.91743539,1
2009,Male,E,Small,Employed,36,9,20060,1,33.65195213,1
2009,Female,A,Large,Housewife,46,13,45515,0,222.735365,1
2009,Male,A,Medium,Housewife,49,1,27510,0,57.06267756,1
2009,Male,D,Large,Housewife,18,4,23675,1,81.90993935,1
2009,Female,B,Large,Employed,39,15,2890,1,148.9956325,1
2009,Female,C,Large,Employed,32,0,13200,1,153.4523215,1
2009,Female,B,Large,Employed,40,7,29130,1,32.15775954,1
2009,Male,A,Small,Housewife,52,0,6310,1,211.8309492,1
2009,Male,B,Medium,Employed,41,0,37625,0,84.06770437,1
2009,Male,D,Small,Employed,28,0,17310,0,34.81095528,1
2009,Male,A,Medium,Housewife,28,6,4055,1,201.6569069,1
2009,Male,A,Medium,Housewife,31,2,5975,0,24.32094795,1
2009,Male,A,Large,Self-employed,35,2,7165,0,106.5583041,1
2009,Male,D,Large,Housewife,52,3,7215,1,106.5583041,1
2009,Female,E,Large,Employed,18,10,11400,0,32.15775954,1
2009,Male,B,Small,Employed,28,9,14485,0,48.3306937,1
2009,Male,A,Medium,Employed,20,2,13775,0,48.3306937,1
2009,Male,A,Small,Housewife,55,2,21305,1,14.37714238,1
2009,Female,E,Large,Housewife,35,3,35290,1,139.6062055,1
2009,Male,D,Small,Employed,25,5,6390,0,114.1413271,1
2009,Female,A,Large,Employed,57,2,9980,1,139.2056697,1
2009,Female,B,Medium,Employed,44,9,24450,1,63.15287215,1
2009,Female,C,Large,Housewife,61,6,26740,0,249.8117276,1
2009,Male,E,Large,Employed,35,11,15450,0,169.5291484,1
2009,Male,B,Medium,Housewife,25,7,19130,1,293.5560359,1
2009,Male,E,Medium,Employed,25,3,9050,1,275.2822626,1
2009,Female,B,Small,Employed,33,1,19245,0,129.4194752,1
2009,Male,E,Small,Unemployed,23,4,1470,0,107.8170529,1
2009,Male,E,Medium,Employed,23,13,8430,0,99.17167477,1
2009,Female,A,Small,Employed,33,12,9625,0,189.9730181,1
2009,Male,A,Small,Employed,18,1,14065,0,272.9669948,1
2009,Female,D,Large,Housewife,20,5,11125,0,282.3344767,1
2009,Male,A,Medium,Unemployed,37,0,24535,0,207.1446249,1
2009,Male,B,Large,Employed,30,0,18060,0,33.67123926,1
2009,Female,C,Small,Self-employed,32,9,4920,0,190.0515645,1
2009,Female,A,Small,Unemployed,34,0,2605,0,222.711392,1
2009,Female,A,Medium,Housewife,35,4,2005,1,26.55546013,1
2009,Female,A,Medium,Employed,25,0,22035,0,168.6499611,1
2009,Male,D,Large,Self-employed,22,2,16575,0,260.3601885,1
2009,Male,E,Small,Employed,33,4,15420,1,295.7970919,1
2009,Male,C,Medium,Employed,47,5,6040,1,171.3729361,1
2009,Male,E,Medium,Unemployed,18,6,43345,0,67.42478707,1
2009,Male,A,Large,Unemployed,25,2,9720,1,31.60580864,1
2009,Female,B,Medium,Employed,44,12,10000,1,63.89430992,1
2009,Male,A,Medium,Self-employed,36,1,8495,1,34.81095528,1
2009,Male,C,Medium,Employed,21,12,3280,1,236.3993842,1
2009,Male,B,Medium,Self-employed,36,1,33845,1,94.36462339,1
2009,Male,B,Medium,Housewife,22,7,17405,1,236.3993842,1
2009,Male,D,Medium,Self-employed,44,3,16500,1,32.26996388,1
